,exact_matches,partial_matches,cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_loc_extract,loc_in_extracted_sentence,pxtraced_location_not_in_text_hall,pxtraced_location_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,try_count,misperid
278,0,0,0,1,3,1,3,0.36090755,2,0,4,0,4,1,9243
279,3,0,1,3,5,7,4,0.466554,4,0,14,0,14,1,9274
280,1,0,0,0,21,1,21,0.31527227,13,8,98,5,101,1,9315
281,2,0,0,3,7,5,7,0.52936673,6,7,26,1,32,1,9354
282,5,0,0,1,8,6,7,0.4101362,6,12,6,0,18,1,9505
283,0,0,0,3,4,3,4,0.370025,3,1,32,0,33,1,9509
284,7,0,0,0,14,5,11,0.44609395,10,2,20,0,22,1,9516
285,9,0,0,1,8,6,5,0.33765233,5,2,43,3,42,1,9545
286,5,0,0,4,11,8,11,0.42068473,8,4,85,3,86,1,9579
287,2,0,0,0,5,2,5,0.52680266,4,0,7,0,7,1,9590
288,0,0,0,2,3,2,3,0.3205876,3,2,24,2,24,1,9610
289,0,1,0,2,6,3,6,0.40893802,3,0,10,1,9,1,9635
290,0,0,0,3,3,3,3,0.25777936,3,1,37,4,34,1,9650
291,1,0,0,3,4,4,4,0.4601572,3,2,7,0,9,1,9687
292,0,0,0,1,3,1,3,0.40066203,1,0,4,0,4,1,9737
293,10,0,0,2,10,6,9,0.41959068,9,2,20,3,19,1,9863
294,0,0,0,3,6,3,6,0.35395628,5,2,15,2,15,1,9873
295,5,0,0,0,10,5,6,0.3402574,0,0,10,0,10,1,9886
296,0,0,0,0,5,0,5,0.4100542,3,2,30,2,30,1,9906
297,0,0,1,1,5,2,4,0.38819957,4,0,16,0,16,1,9950
298,12,0,0,0,7,6,6,0.33751965,0,1,15,16,0,1,9960
299,0,0,0,1,3,1,3,0.22740202,1,2,39,6,35,1,9974
